antecedent,consequent,antecedent_name,consequent_name,support,antecedent support,consequent support,confidence,lift
001059,014013,GIV 80GR MULBERRY,GIV 80GR PEARL,0.0011584556732733744,0.0030751732417802304,0.003180487393895992,0.37671232876712324,118.44484260183252
014013,001059,GIV 80GR PEARL,GIV 80GR MULBERRY,0.0011584556732733744,0.003180487393895992,0.0030751732417802304,0.36423841059602646,118.44484260183252
037500,003272,NUVO FAMILY 80GR COOL,NUVO FAMILY 80GR HIJAU,0.0010742043515807654,0.0029277334288181646,0.0033279272068580576,0.3669064748201439,110.25075129769601
003272,037500,NUVO FAMILY 80GR HIJAU,NUVO FAMILY 80GR COOL,0.0010742043515807654,0.0033279272068580576,0.0029277334288181646,0.3227848101265823,110.25075129769601
005366,003011,INDOMILK BTL 190ML COKLAT,INDOMILK BTL 190ML STRAWBERY,0.0010110158603113086,0.003138361733049687,0.002948796259241317,0.32214765100671144,109.247171620326
003011,005366,INDOMILK BTL 190ML STRAWBERY,INDOMILK BTL 190ML COKLAT,0.0010110158603113086,0.002948796259241317,0.003138361733049687,0.34285714285714286,109.24717162032599
003280,003277,GIV 80GR PUTIH,GIV 80GR PINK,0.0010952671820039176,0.0032436758851654484,0.003117298902626535,0.33766233766233766,108.31888381888382
003277,003280,GIV 80GR PINK,GIV 80GR PUTIH,0.0010952671820039176,0.003117298902626535,0.0032436758851654484,0.3513513513513513,108.3188838188838
003280,004278,GIV 80GR PUTIH,GIV 80GR HIJAU,0.0010320786907344608,0.0032436758851654484,0.0031594245634728397,0.3181818181818182,100.70878787878787
004278,003280,GIV 80GR HIJAU,GIV 80GR PUTIH,0.0010320786907344608,0.0031594245634728397,0.0032436758851654484,0.3266666666666666,100.70878787878786
009399,009400,INDOMILK KIDS [UHT] 125ML STW,INDOMILK KIDS [UHT] 125ML CHO,0.0015375866208901152,0.0030541104113570782,0.005097204962402848,0.503448275862069,98.76947848389855
009400,009399,INDOMILK KIDS [UHT] 125ML CHO,INDOMILK KIDS [UHT] 125ML STW,0.0015375866208901152,0.005097204962402848,0.0030541104113570782,0.30165289256198347,98.76947848389854
038207,005560,CITRA SOAP 80GR SPOTLESS WHT,CITRA SOAP 75GR LAST PEARL BKG,0.0014954609600438106,0.0030119847505107734,0.006466288939907745,0.4965034965034965,76.78337623288763
005560,038207,CITRA SOAP 75GR LAST PEARL BKG,CITRA SOAP 80GR SPOTLESS WHT,0.0014954609600438106,0.006466288939907745,0.0030119847505107734,0.2312703583061889,76.78337623288763
000356,005560,CITRA SOAP 80GR NATURAL WHITE,CITRA SOAP 75GR LAST PEARL BKG,0.0013269583166585926,0.0029277334288181646,0.006466288939907745,0.45323741007194246,70.0923534787805
005560,000356,CITRA SOAP 75GR LAST PEARL BKG,CITRA SOAP 80GR NATURAL WHITE,0.0013269583166585926,0.006466288939907745,0.0029277334288181646,0.20521172638436483,70.0923534787805
002844,002960,ULTRA MILK 200ML STRAWBERRY,ULTRA MILK 200ML COKLAT,0.0010742043515807654,0.003201550224319144,0.005539524401289045,0.3355263157894737,60.569516710026015
002960,002844,ULTRA MILK 200ML COKLAT,ULTRA MILK 200ML STRAWBERRY,0.0010742043515807654,0.005539524401289045,0.003201550224319144,0.19391634980988592,60.569516710026015
035801,020358,SHINZU'I SOAP 90GR MYORI,SHINZU'I SOAP 90GR KIREI,0.0010531415211576132,0.0041915032542073,0.004360005897592519,0.2512562814070352,57.62750952831792
020358,035801,SHINZU'I SOAP 90GR KIREI,SHINZU'I SOAP 90GR MYORI,0.0010531415211576132,0.004360005897592519,0.0041915032542073,0.24154589371980675,57.627509528317916
000234,041262,TIM TAM 105GR VANILA,TIM TAM 105GR RED VELVET,0.0015586494513132674,0.0038755607978600165,0.007414116308949597,0.4021739130434782,54.24434906126481
041262,000234,TIM TAM 105GR RED VELVET,TIM TAM 105GR VANILA,0.0015586494513132674,0.007414116308949597,0.0038755607978600165,0.2102272727272727,54.24434906126481
000234,002437,TIM TAM 105GR VANILA,TIM TAM 105GR COKLAT,0.0014112096383512016,0.0038755607978600165,0.006803294226678181,0.3641304347826087,53.522664557813975
002437,000234,TIM TAM 105GR COKLAT,TIM TAM 105GR VANILA,0.0014112096383512016,0.006803294226678181,0.0038755607978600165,0.20743034055727555,53.522664557813975
009522,002477,MIE INDOMIE GRNG RENDANG/GRS,MIE INDOMIE GORENG PEDAS,0.0012216441645428312,0.004949765149440782,0.005055079301556543,0.24680851063829787,48.82386524822695
002477,009522,MIE INDOMIE GORENG PEDAS,MIE INDOMIE GRNG RENDANG/GRS,0.0012216441645428312,0.005055079301556543,0.004949765149440782,0.24166666666666664,48.823865248226944
019692,015171,KOKO KRUNCH COMBO PACK 20+12GR,MILO CEREAL COMBO PACK [20+12],0.0010531415211576132,0.006487351770330897,0.0034543041893969713,0.16233766233766236,46.995763382958515
015171,019692,MILO CEREAL COMBO PACK [20+12],KOKO KRUNCH COMBO PACK 20+12GR,0.0010531415211576132,0.0034543041893969713,0.006487351770330897,0.3048780487804878,46.99576338295851
002437,041262,TIM TAM 105GR COKLAT,TIM TAM 105GR RED VELVET,0.0022747856857004444,0.006803294226678181,0.007414116308949597,0.33436532507739936,45.098473121305936
041262,002437,TIM TAM 105GR RED VELVET,TIM TAM 105GR COKLAT,0.0022747856857004444,0.007414116308949597,0.006803294226678181,0.3068181818181818,45.098473121305936
002483,002485,MIE INDOMIE AYAM BAWANG,MIE INDOMIE KALDU AYAM,0.0014112096383512016,0.005476335910019588,0.006023969501021547,0.2576923076923077,42.77782409897795
002485,002483,MIE INDOMIE KALDU AYAM,MIE INDOMIE AYAM BAWANG,0.0014112096383512016,0.006023969501021547,0.005476335910019588,0.23426573426573427,42.77782409897795
002485,002482,MIE INDOMIE KALDU AYAM,MIE INDOMIE AYAM SPECIAL,0.00111633001242707,0.006023969501021547,0.005623775722981655,0.18531468531468534,32.95200492391504
002482,002485,MIE INDOMIE AYAM SPECIAL,MIE INDOMIE KALDU AYAM,0.00111633001242707,0.005623775722981655,0.006023969501021547,0.19850187265917602,32.952004923915034
025007,017289,MIE SEDAP RASA KARI AYAM,MIE SEDAP RASA SOTO,0.0015375866208901152,0.0045706342018240415,0.011057985972154937,0.33640552995391704,30.42195303928023
017289,025007,MIE SEDAP RASA SOTO,MIE SEDAP RASA KARI AYAM,0.0015375866208901152,0.011057985972154937,0.0045706342018240415,0.13904761904761906,30.42195303928023
036805,017288,MIE SEDAP GORENG AYAM KRISPI,MIE SEDAP GORENG,0.0015797122817364198,0.00334899003728121,0.016702824525559743,0.4716981132075472,28.24061957220015
017287,017289,MIE SEDAP RASA AYAM BAWANG,MIE SEDAP RASA SOTO,0.0012427069949659836,0.0049076394885944775,0.011057985972154937,0.2532188841201717,22.899186593092175
017289,017287,MIE SEDAP RASA SOTO,MIE SEDAP RASA AYAM BAWANG,0.0012427069949659836,0.011057985972154937,0.0049076394885944775,0.1123809523809524,22.899186593092175
035968,002481,MIE INDOMIE SOTO SPECIAL,MIE INDOMIE KARI AYAM,0.0017271520946984856,0.007456241969795901,0.010383975398614066,0.23163841807909605,22.307296501300698
002481,035968,MIE INDOMIE KARI AYAM,MIE INDOMIE SOTO SPECIAL,0.0017271520946984856,0.010383975398614066,0.007456241969795901,0.1663286004056795,22.307296501300694
002485,002481,MIE INDOMIE KALDU AYAM,MIE INDOMIE KARI AYAM,0.0013901468079280494,0.006023969501021547,0.010383975398614066,0.23076923076923078,22.223591823997506
002481,002485,MIE INDOMIE KARI AYAM,MIE INDOMIE KALDU AYAM,0.0013901468079280494,0.010383975398614066,0.006023969501021547,0.13387423935091278,22.223591823997506
002484,002481,MIE INDOMIE SOTO MIE,MIE INDOMIE KARI AYAM,0.0017271520946984856,0.007561556121911663,0.010383975398614066,0.22841225626740946,21.996609920502635
002481,002484,MIE INDOMIE KARI AYAM,MIE INDOMIE SOTO MIE,0.0017271520946984856,0.010383975398614066,0.007561556121911663,0.1663286004056795,21.996609920502635
002483,002481,MIE INDOMIE AYAM BAWANG,MIE INDOMIE KARI AYAM,0.0012216441645428312,0.005476335910019588,0.010383975398614066,0.2230769230769231,21.482805429864253
002481,002483,MIE INDOMIE KARI AYAM,MIE INDOMIE AYAM BAWANG,0.0012216441645428312,0.010383975398614066,0.005476335910019588,0.11764705882352941,21.482805429864253
005040,017289,MIE SEDAP KARIKENTAL SPC 75GR,MIE SEDAP RASA SOTO,0.0017060892642753332,0.008130252543336774,0.011057985972154937,0.2098445595854922,18.976743153219836
017289,005040,MIE SEDAP RASA SOTO,MIE SEDAP KARIKENTAL SPC 75GR,0.0017060892642753332,0.011057985972154937,0.008130252543336774,0.15428571428571428,18.976743153219836
002482,002481,MIE INDOMIE AYAM SPECIAL,MIE INDOMIE KARI AYAM,0.0010531415211576132,0.005623775722981655,0.010383975398614066,0.18726591760299624,18.03412569987313
002481,002482,MIE INDOMIE KARI AYAM,MIE INDOMIE AYAM SPECIAL,0.0010531415211576132,0.010383975398614066,0.005623775722981655,0.10141987829614606,18.03412569987313
025007,017288,MIE SEDAP RASA KARI AYAM,MIE SEDAP GORENG,0.001369083977504897,0.0045706342018240415,0.016702824525559743,0.2995391705069124,17.93344413386719
017288,017289,MIE SEDAP GORENG,MIE SEDAP RASA SOTO,0.0032647387155886006,0.016702824525559743,0.011057985972154937,0.19546027742749056,17.675938269380897
017289,017288,MIE SEDAP RASA SOTO,MIE SEDAP GORENG,0.0032647387155886006,0.011057985972154937,0.016702824525559743,0.29523809523809524,17.675938269380893
002481,012656,MIE INDOMIE KARI AYAM,MIE INDOMIE GORENG SPC JUMBO,0.0015375866208901152,0.010383975398614066,0.009436148029572215,0.14807302231237324,15.69210464358157
012656,002481,MIE INDOMIE GORENG SPC JUMBO,MIE INDOMIE KARI AYAM,0.0015375866208901152,0.009436148029572215,0.010383975398614066,0.16294642857142855,15.692104643581569
005040,017288,MIE SEDAP KARIKENTAL SPC 75GR,MIE SEDAP GORENG,0.0021273458727383786,0.008130252543336774,0.016702824525559743,0.2616580310880829,15.665496017615274
017288,005040,MIE SEDAP GORENG,MIE SEDAP KARIKENTAL SPC 75GR,0.0021273458727383786,0.016702824525559743,0.008130252543336774,0.1273644388398487,15.665496017615274
002481,002475,MIE INDOMIE KARI AYAM,MIE INDOMIE GORENG 84GR,0.005012953640710239,0.010383975398614066,0.031404680160920025,0.4827586206896552,15.372187145863688
002475,002481,MIE INDOMIE GORENG 84GR,MIE INDOMIE KARI AYAM,0.005012953640710239,0.031404680160920025,0.010383975398614066,0.1596244131455399,15.372187145863688
001193,010042,KOPI KAPAL API SPECIAL 165GR,GULA 1KG KUNING [LOKAL],0.0018956547380837036,0.006466288939907745,0.0191039871937991,0.29315960912052114,15.345467213026442
017287,017288,MIE SEDAP RASA AYAM BAWANG,MIE SEDAP GORENG,0.0011584556732733744,0.0049076394885944775,0.016702824525559743,0.23605150214592271,14.13243022368471
045001,045125,SGM 3+EKSPLOR PRESI 900GR MADU,SGM 1+EKSPLOR PRESI 900GR MADU,0.00111633001242707,0.00642416327906144,0.012300692967120922,0.17377049180327872,14.126886368740177
002483,002475,MIE INDOMIE AYAM BAWANG,MIE INDOMIE GORENG 84GR,0.002380099837816206,0.005476335910019588,0.031404680160920025,0.4346153846153847,13.839191559614097
003126,003479,BANGO KECAP RF 600ML,FILMA RF 2 LITER,0.0013480211470817448,0.006360974787791984,0.015776059986941045,0.2119205298013245,13.433045385016667
002485,002475,MIE INDOMIE KALDU AYAM,MIE INDOMIE GORENG 84GR,0.0025275396507782716,0.006023969501021547,0.031404680160920025,0.41958041958041964,13.360442374526883
045142,045125,SGM 1+EKSPLOR PRESI 900GR VAN,SGM 1+EKSPLOR PRESI 900GR MADU,0.001600775112159572,0.00977315331634265,0.012300692967120922,0.16379310344827588,13.31576228153047
045125,045142,SGM 1+EKSPLOR PRESI 900GR MADU,SGM 1+EKSPLOR PRESI 900GR VAN,0.001600775112159572,0.012300692967120922,0.00977315331634265,0.13013698630136986,13.315762281530468
035968,002475,MIE INDOMIE SOTO SPECIAL,MIE INDOMIE GORENG 84GR,0.003117298902626535,0.007456241969795901,0.031404680160920025,0.4180790960451977,13.312636648516333
002484,002475,MIE INDOMIE SOTO MIE,MIE INDOMIE GORENG 84GR,0.003117298902626535,0.007561556121911663,0.031404680160920025,0.41225626740947074,13.127223881823905
003879,010042,GARAM MEJA KAPAL 500GR,GULA 1KG KUNING [LOKAL],0.0011795185036965268,0.005034016471133391,0.0191039871937991,0.23430962343096237,12.264959196947961
002482,002475,MIE INDOMIE AYAM SPECIAL,MIE INDOMIE GORENG 84GR,0.0020852202118920742,0.005623775722981655,0.031404680160920025,0.3707865168539326,11.806728008500441
024093,017288,MIE SEDAP WHITE CURRY,MIE SEDAP GORENG,0.0010952671820039176,0.005686964214251111,0.016702824525559743,0.1925925925925926,11.530540376442017
003126,010042,BANGO KECAP RF 600ML,GULA 1KG KUNING [LOKAL],0.001369083977504897,0.006360974787791984,0.0191039871937991,0.2152317880794702,11.26632811758435
003126,000612,BANGO KECAP RF 600ML,SUNLIGHT RF 800ML LIME,0.0010531415211576132,0.006360974787791984,0.01489142110916865,0.16556291390728478,11.118006313403338
009522,002475,MIE INDOMIE GRNG RENDANG/GRS,MIE INDOMIE GORENG 84GR,0.0016429007730058766,0.004949765149440782,0.031404680160920025,0.3319148936170213,10.568962712444883
062690,002475,MIE INDOMIE GORENG TAHU TEK,MIE INDOMIE GORENG 84GR,0.0018535290772373992,0.005876529688059481,0.031404680160920025,0.31541218637992835,10.043477111173614
002511,002475,MIE SUPERMI AYAM BAWANG,MIE INDOMIE GORENG 84GR,0.0016639636034290288,0.005413147418750132,0.031404680160920025,0.30739299610894943,9.788126945851504
002477,002475,MIE INDOMIE GORENG PEDAS,MIE INDOMIE GORENG 84GR,0.0014954609600438106,0.005055079301556543,0.031404680160920025,0.29583333333333334,9.420039682539683
009530,002475,MIE INDOMIE GORENG CABE IJO,MIE INDOMIE GORENG 84GR,0.0010320786907344608,0.00353855551108958,0.031404680160920025,0.29166666666666663,9.287363067292643
014892,003479,GULAKU PREMIUM 1 KG,FILMA RF 2 LITER,0.0012216441645428312,0.008509383490953515,0.015776059986941045,0.14356435643564355,9.10014012082116
017289,002475,MIE SEDAP RASA SOTO,MIE INDOMIE GORENG 84GR,0.0030962360722033826,0.011057985972154937,0.031404680160920025,0.28,8.91586854460094
029046,002475,MIE INDOMIE GORENG IGA PENYET,MIE INDOMIE GORENG 84GR,0.0010531415211576132,0.003938749289129473,0.031404680160920025,0.26737967914438504,8.514007395531836
005040,002475,MIE SEDAP KARIKENTAL SPC 75GR,MIE INDOMIE GORENG 84GR,0.002169471533584683,0.008130252543336774,0.031404680160920025,0.2668393782383419,8.496802924628946
024093,002475,MIE SEDAP WHITE CURRY,MIE INDOMIE GORENG 84GR,0.0014743981296206584,0.005686964214251111,0.031404680160920025,0.25925925925925924,8.255433837593461
002484,017288,MIE INDOMIE SOTO MIE,MIE SEDAP GORENG,0.0010320786907344608,0.007561556121911663,0.016702824525559743,0.13649025069637882,8.171686799889
010042,003479,GULA 1KG KUNING [LOKAL],FILMA RF 2 LITER,0.002316911346546749,0.0191039871937991,0.015776059986941045,0.12127894156560089,7.6875304522163335
003479,010042,FILMA RF 2 LITER,GULA 1KG KUNING [LOKAL],0.002316911346546749,0.015776059986941045,0.0191039871937991,0.14686248331108143,7.687530452216333
052671,002475,MIE SEDAP BAKSO SPESIAL 77GR,MIE INDOMIE GORENG 84GR,0.0010531415211576132,0.004402131558438823,0.031404680160920025,0.23923444976076555,7.617796090739011
025007,002475,MIE SEDAP RASA KARI AYAM,MIE INDOMIE GORENG 84GR,0.0010742043515807654,0.0045706342018240415,0.031404680160920025,0.23502304147465436,7.483694795501116
017287,002475,MIE SEDAP RASA AYAM BAWANG,MIE INDOMIE GORENG 84GR,0.0010742043515807654,0.0049076394885944775,0.031404680160920025,0.2188841201716738,6.969793006968851
003879,002475,GARAM MEJA KAPAL 500GR,MIE INDOMIE GORENG 84GR,0.0010952671820039176,0.005034016471133391,0.031404680160920025,0.21757322175732216,6.928050871477119
012656,002475,MIE INDOMIE GORENG SPC JUMBO,MIE INDOMIE GORENG 84GR,0.0020430945510457694,0.009436148029572215,0.031404680160920025,0.21651785714285712,6.894445542301427
003126,002475,BANGO KECAP RF 600ML,MIE INDOMIE GORENG 84GR,0.001369083977504897,0.006360974787791984,0.031404680160920025,0.2152317880794702,6.853494032628442
000612,003479,SUNLIGHT RF 800ML LIME,FILMA RF 2 LITER,0.0015586494513132674,0.01489142110916865,0.015776059986941045,0.10466760961810466,6.63458491567257
002481,017288,MIE INDOMIE KARI AYAM,MIE SEDAP GORENG,0.0011373928428502222,0.010383975398614066,0.016702824525559743,0.10953346855983773,6.557781193966477
002475,017288,MIE INDOMIE GORENG 84GR,MIE SEDAP GORENG,0.003433241358973819,0.031404680160920025,0.016702824525559743,0.10932260228034876,6.545156605881613
017288,002475,MIE SEDAP GORENG,MIE INDOMIE GORENG 84GR,0.003433241358973819,0.016702824525559743,0.031404680160920025,0.20554854981084492,6.545156605881612
000612,010042,SUNLIGHT RF 800ML LIME,GULA 1KG KUNING [LOKAL],0.0017903405859679424,0.01489142110916865,0.0191039871937991,0.12022630834512023,6.29325737739942
014892,002475,GULAKU PREMIUM 1 KG,MIE INDOMIE GORENG 84GR,0.0013269583166585926,0.008509383490953515,0.031404680160920025,0.15594059405940594,4.965520847859434
010042,002475,GULA 1KG KUNING [LOKAL],MIE INDOMIE GORENG 84GR,0.0025907281420477282,0.0191039871937991,0.031404680160920025,0.13561190738699008,4.318206926232145
003479,002475,FILMA RF 2 LITER,MIE INDOMIE GORENG 84GR,0.0021273458727383786,0.015776059986941045,0.031404680160920025,0.1348464619492657,4.2938333158720905
000612,002475,SUNLIGHT RF 800ML LIME,MIE INDOMIE GORENG 84GR,0.0018535290772373992,0.01489142110916865,0.031404680160920025,0.12446958981612448,3.9634089307177343
015279,002475,TELUR AYAM HOREN / ONS,MIE INDOMIE GORENG 84GR,0.0010110158603113086,0.009857404638035258,0.031404680160920025,0.10256410256410257,3.265885913773238
